,index,time,cells,carrier,Exp,rep,compound,state,relative_label,sample
1,1,0,TSCctrl,MK,ERA01AD,1,AcetylCoA,label,0.000513646335660278,NA
2,2,0,TSCctrl,MK,ERA01AD,1,AcetylCoA,nolabel,0.99948635366434,NA
3,3,0,TSCctrl,DMSO,ERA01AD,1,AcetylCoA,label,0.00158687746622979,NA
4,4,0,TSCctrl,DMSO,ERA01AD,1,AcetylCoA,nolabel,0.99841312253377,NA
5,9,0,TSCctrl,MK,ERA01AD,2,AcetylCoA,label,0.0131488669743288,NA
6,10,0,TSCctrl,MK,ERA01AD,2,AcetylCoA,nolabel,0.986851133025671,NA
7,11,0,TSCctrl,DMSO,ERA01AD,2,AcetylCoA,label,0.00174852006786485,NA
8,12,0,TSCctrl,DMSO,ERA01AD,2,AcetylCoA,nolabel,0.998251479932135,NA
9,17,30,TSCctrl,MK,ERA01AD,1,AcetylCoA,label,0.063481465900142,NA
10,18,30,TSCctrl,MK,ERA01AD,1,AcetylCoA,nolabel,0.936518534099858,NA
11,19,30,TSCctrl,DMSO,ERA01AD,1,AcetylCoA,label,0.150873469250559,NA
12,20,30,TSCctrl,DMSO,ERA01AD,1,AcetylCoA,nolabel,0.849126530749441,NA
13,25,30,TSCctrl,MK,ERA01AD,2,AcetylCoA,label,0.068591834711653,NA
14,26,30,TSCctrl,MK,ERA01AD,2,AcetylCoA,nolabel,0.931408165288347,NA
15,27,30,TSCctrl,DMSO,ERA01AD,2,AcetylCoA,label,0.164409622884484,NA
16,28,30,TSCctrl,DMSO,ERA01AD,2,AcetylCoA,nolabel,0.835590377115516,NA
17,33,120,TSCctrl,MK,ERA01AD,1,AcetylCoA,label,0.282322597686512,NA
18,34,120,TSCctrl,MK,ERA01AD,1,AcetylCoA,nolabel,0.717677402313488,NA
19,35,120,TSCctrl,DMSO,ERA01AD,1,AcetylCoA,label,0.462067430562404,NA
20,36,120,TSCctrl,DMSO,ERA01AD,1,AcetylCoA,nolabel,0.537932569437597,NA
21,41,120,TSCctrl,MK,ERA01AD,2,AcetylCoA,label,0.308483342852152,NA
22,42,120,TSCctrl,MK,ERA01AD,2,AcetylCoA,nolabel,0.691516657147848,NA
23,43,120,TSCctrl,DMSO,ERA01AD,2,AcetylCoA,label,0.488353467563074,NA
24,44,120,TSCctrl,DMSO,ERA01AD,2,AcetylCoA,nolabel,0.511646532436926,NA
25,49,240,TSCctrl,MK,ERA01AD,1,AcetylCoA,label,0.441130694217616,NA
26,50,240,TSCctrl,MK,ERA01AD,1,AcetylCoA,nolabel,0.558869305782384,NA
27,51,240,TSCctrl,DMSO,ERA01AD,1,AcetylCoA,label,0.606759650877025,NA
28,52,240,TSCctrl,DMSO,ERA01AD,1,AcetylCoA,nolabel,0.393240349122975,NA
29,57,240,TSCctrl,MK,ERA01AD,2,AcetylCoA,label,0.466471755492608,NA
30,58,240,TSCctrl,MK,ERA01AD,2,AcetylCoA,nolabel,0.533528244507392,NA
31,59,240,TSCctrl,DMSO,ERA01AD,2,AcetylCoA,label,0.64314320659445,NA
32,60,240,TSCctrl,DMSO,ERA01AD,2,AcetylCoA,nolabel,0.35685679340555,NA
33,65,360,TSCctrl,MK,ERA01AD,1,AcetylCoA,label,0.535849989887062,NA
34,66,360,TSCctrl,MK,ERA01AD,1,AcetylCoA,nolabel,0.464150010112938,NA
35,67,360,TSCctrl,DMSO,ERA01AD,1,AcetylCoA,label,0.67502295512831,NA
36,68,360,TSCctrl,DMSO,ERA01AD,1,AcetylCoA,nolabel,0.324977044871691,NA
37,73,360,TSCctrl,MK,ERA01AD,2,AcetylCoA,label,0.568120262419091,NA
38,74,360,TSCctrl,MK,ERA01AD,2,AcetylCoA,nolabel,0.431879737580909,NA
39,75,360,TSCctrl,DMSO,ERA01AD,2,AcetylCoA,label,0.683864936092698,NA
40,76,360,TSCctrl,DMSO,ERA01AD,2,AcetylCoA,nolabel,0.316135063907302,NA
41,97,0,TSCctrl,MK,ERA01AE,3,AcetylCoA,label,0.00471251324066758,1
42,98,0,TSCctrl,MK,ERA01AE,3,AcetylCoA,nolabel,0.995287486759332,1
43,99,0,TSCctrl,DMSO,ERA01AE,3,AcetylCoA,label,0.0541870907078808,1
44,100,0,TSCctrl,DMSO,ERA01AE,3,AcetylCoA,nolabel,0.945812909292119,1
45,105,0,TSCctrl,MK,ERA01AE,4,AcetylCoA,label,0.00305931556136534,2
46,106,0,TSCctrl,MK,ERA01AE,4,AcetylCoA,nolabel,0.996940684438635,2
47,107,0,TSCctrl,DMSO,ERA01AE,4,AcetylCoA,label,0.00874293246497707,2
48,108,0,TSCctrl,DMSO,ERA01AE,4,AcetylCoA,nolabel,0.991257067535023,2
49,113,30,TSCctrl,MK,ERA01AE,3,AcetylCoA,label,0.0800489262670023,1
50,114,30,TSCctrl,MK,ERA01AE,3,AcetylCoA,nolabel,0.919951073732998,1
51,115,30,TSCctrl,DMSO,ERA01AE,3,AcetylCoA,label,0.204435862984305,1
52,116,30,TSCctrl,DMSO,ERA01AE,3,AcetylCoA,nolabel,0.795564137015695,1
53,121,30,TSCctrl,MK,ERA01AE,4,AcetylCoA,label,0.0831924490245406,2
54,122,30,TSCctrl,MK,ERA01AE,4,AcetylCoA,nolabel,0.916807550975459,2
55,123,30,TSCctrl,DMSO,ERA01AE,4,AcetylCoA,label,0.193338861508642,2
56,124,30,TSCctrl,DMSO,ERA01AE,4,AcetylCoA,nolabel,0.806661138491358,2
57,129,120,TSCctrl,MK,ERA01AE,3,AcetylCoA,label,0.420105472800166,1
58,130,120,TSCctrl,MK,ERA01AE,3,AcetylCoA,nolabel,0.579894527199834,1
59,131,120,TSCctrl,DMSO,ERA01AE,3,AcetylCoA,label,0.598611317605293,1
60,132,120,TSCctrl,DMSO,ERA01AE,3,AcetylCoA,nolabel,0.401388682394707,1
61,137,120,TSCctrl,MK,ERA01AE,4,AcetylCoA,label,0.461933405330392,2
62,138,120,TSCctrl,MK,ERA01AE,4,AcetylCoA,nolabel,0.538066594669608,2
63,139,120,TSCctrl,DMSO,ERA01AE,4,AcetylCoA,label,0.562734930722789,2
64,140,120,TSCctrl,DMSO,ERA01AE,4,AcetylCoA,nolabel,0.437265069277211,2
65,145,240,TSCctrl,MK,ERA01AE,3,AcetylCoA,label,0.553255403322631,1
66,146,240,TSCctrl,MK,ERA01AE,3,AcetylCoA,nolabel,0.446744596677369,1
67,147,240,TSCctrl,DMSO,ERA01AE,3,AcetylCoA,label,0.705267665798256,1
68,148,240,TSCctrl,DMSO,ERA01AE,3,AcetylCoA,nolabel,0.294732334201744,1
69,153,240,TSCctrl,MK,ERA01AE,4,AcetylCoA,label,0.551436429210683,2
70,154,240,TSCctrl,MK,ERA01AE,4,AcetylCoA,nolabel,0.448563570789317,2
71,155,240,TSCctrl,DMSO,ERA01AE,4,AcetylCoA,label,0.683867838878925,2
72,156,240,TSCctrl,DMSO,ERA01AE,4,AcetylCoA,nolabel,0.316132161121074,2
73,161,360,TSCctrl,MK,ERA01AE,3,AcetylCoA,label,0.606604135717114,1
74,162,360,TSCctrl,MK,ERA01AE,3,AcetylCoA,nolabel,0.393395864282885,1
75,163,360,TSCctrl,DMSO,ERA01AE,3,AcetylCoA,label,0.736610819713167,1
76,164,360,TSCctrl,DMSO,ERA01AE,3,AcetylCoA,nolabel,0.263389180286833,1
77,169,360,TSCctrl,MK,ERA01AE,4,AcetylCoA,label,0.646575830400348,2
78,170,360,TSCctrl,MK,ERA01AE,4,AcetylCoA,nolabel,0.353424169599652,2
79,171,360,TSCctrl,DMSO,ERA01AE,4,AcetylCoA,label,0.758868998398977,2
80,172,360,TSCctrl,DMSO,ERA01AE,4,AcetylCoA,nolabel,0.241131001601023,2
